>アーシアン，ルーベン	Arslan, Ruben C.
レヴィット，スティーヴン	Levitt, Steven
レーガン，ミルトン	Regan, Milton
レーミラー，ジャスティン	Lehmiller, Justin
レズビアン	lesbian identity
レズビアン・アイデンティティ	lesbian identity
ロー対ウェイド判決	Roe v. Wade
ロージン，ハンナ	Rosin, Hanna
ローズ，カイラ	Lords, Kayla
ローティー，リチャード	Rorty, Richard
ロード，オードリー	Lorde, Audre
ロードフット，フィオナ	Broadfoot, Fiona
ローマ	Rome
ローマン，ジョン	Lowman, John
ローリングストーン	Rolling Stone
ロールズ，ジョン	Rawls, John
ローレンス事件／ローレンス対テキサス事件	Lawrence v. Texas
ロジャーズ，レスリー	Rogers, Leslie
ロチェスター（伯爵），ジョン・ウィルモット	Rochester, Earl of (John Wilmot)
ロッカ，ジェームズ	Rocha, James
ロック，ジョン	Locke, John
ロドリーク，ハディア	Roderique, Hadiya
ロバーツ，ジョン	Roberts, John
ロバーツ，ニッキー	Roberts, Nickie
ロボット	robot
ワートハイマー，アラン	Wertheimer, Alan
ワイアット，ニコル	Wyatt, Nicole
ワイス，マゴット	Weiss, Margot
ワイス，ロバート	Weiss, Robert
ワイマール共和国	Weimar Germany
ワシントンポスト	Washington Post, The
ワンダとダイヤと優しい奴ら（映画）	Fish Called Wanda, A.
